item_id,title,price,extracted_price,reviews,condition,buying_format,seller_name,seller_reviews,seller_feedback,sold_text,return_info,location,link,source_query,source_page;;;
"295102178301,""LARGE 25 COMICS BOOK LOT-MARVEL, DC, INDIES- FREE/Fast Shipping! VF to NM+ ALL"",$22.49,22.49,,New (Other),or Best Offer,hadleycomics,1600,99.8,Save up to 10% when you buy more,""1,248 sold"",Free returns,https://www.ebay.com/itm/295102178301,comics,1";;;
376968283312,MARVEL/DC: SPIDER-MAN/SUPERMAN #1 *Dang! So Many Covers*[1:25] Presale 04/15/26,$7.89 to $89.99,,,Brand New,Buy It Now,odineyes_oddities,7800,100.0,20% off 20+ with coupon,Free returns,Located in United States,https://www.ebay.com/itm/376968283312,comics,1;;;
188257989469,Dead Samurai #6 Cover C Drax Gal Cover,$5.99,5.99,,New (Other),or Best Offer,torpedocomics,7700,100.0,,,Located in United States,https://www.ebay.com/itm/188257989469,comics,1;;;
287039504394,DC Marvel Superman Spider-Man #1 (One Shot) Cover A Jorge Jimenez First Printing,$14.99,14.99,,Brand New,Buy It Now,si-fi_toys,14400,99.6,,187 sold,Free returns,https://www.ebay.com/itm/287039504394,comics,1;;;
"284701338991,lot of 100 comics 80s 90s 2000 Marvel Dc Horse Image collection over Random,$28.95,28.95,,Pre-Owned,Buy It Now,77kings,8200,99.9,,""1,064 sold"",Located in United States,https://www.ebay.com/itm/284701338991,comics,1";;;
198106622324,MARVEL COMICS X-23 OMNIBUS VOL. 1 HC CHOI COVER,$38.00,38.0,,Brand New,Buy It Now,funaticals,14600,99.9,,533 sold,Located in United States,https://www.ebay.com/itm/198106622324,comics,1;;;
298187492786,TRANSFORMERS #1 - COVER A - 1ST PRINT - DANIEL WARREN JOHNSON - 2023 IMAGE,$36.00,36.0,,Brand New,Buy It Now,phantomc77,1700,100.0,,,22 watchers,https://www.ebay.com/itm/298187492786,comics,1;;;
254480574206,It's A Magical World: A Calvin and Hobbes Collection - Paperback - GOOD,$4.78,4.78,6.0,Pre-Owned,Buy It Now,second.sale,5700000,99.4,837 sold,Free returns,Located in United States,https://www.ebay.com/itm/254480574206,comics,1;;;
236740658175,The Fury of Firestorm #1 (DC Comics 2026) Main Cover A NM,$3.40,3.4,,Brand New,Buy It Now,originstory,25900,100.0,,20% off 2+,Free returns,https://www.ebay.com/itm/236740658175,comics,1;;;
168293327141,Web Of Venom #1 (NM),$5.69,5.69,,Brand New,Buy It Now,thecomicferret,13300,99.9,11 sold,Almost gone,Free returns,https://www.ebay.com/itm/168293327141,comics,1;;;
197906847354,Marvel Comics Spider-Man Clone Saga Omnibus #1 REGULAR COVER SEALED,$38.00,38.0,1.0,Brand New,Buy It Now,funaticals,14600,99.9,,727 sold,Located in United States,https://www.ebay.com/itm/197906847354,comics,1;;;
227292224525,Everyone Loves a Jewel Thief (2026) #1 Ignition Press COVER SELECT,$2.88 to $11.88,,,Brand New,Buy It Now,cosmic_kingdom_comics,15000,100.0,,10% off $40+ with coupon,Free returns,https://www.ebay.com/itm/227292224525,comics,1;;;
227292287941,Teenage Mutant Ninja Turtles (2024) #1-14 15 16 17 IDW Publishing COVER SELECT,$4.88 to $299.88,,,Brand New,Buy It Now,cosmic_kingdom_comics,15000,100.0,,10% off $40+ with coupon,Free returns,https://www.ebay.com/itm/227292287941,comics,1;;;
"197846707702,Marvel Comics Spider-Verse / Spider-Geddon 2023 Omnibus SEALED,$38.00,38.0,,Brand New,Buy It Now,funaticals,14600,99.9,,""1,034 sold"",Located in United States,https://www.ebay.com/itm/197846707702,comics,1";;;
197941659001,X-Men The Hidden Years Omnibus HC Marvel Comics,$30.00,30.0,,Brand New,Buy It Now,funaticals,14600,99.9,,456 sold,Located in United States,https://www.ebay.com/itm/197941659001,comics,1;;;
198005066197,MARVEL COMICS LOKI: GOD OF STORIES OMNIBUS HC YILDIRIM COVER,$38.00,38.0,,Brand New,Buy It Now,funaticals,14600,99.9,,244 sold,Located in United States,https://www.ebay.com/itm/198005066197,comics,1;;;
204684110237,Harley Quinn #1 Yoshitaka Amano Shared Exclusive Variant Cover DC Comics 2021,$2.50,2.5,,,Buy It Now,royalcollectibles,26600,100.0,,,Located in United States,https://www.ebay.com/itm/204684110237,comics,1;;;
227278448687,Daredevil (2026) #1 Marvel Comics COVER SELECT,$5.88 to $109.88,,,Brand New,Buy It Now,cosmic_kingdom_comics,15000,100.0,,10% off $40+ with coupon,Free returns,https://www.ebay.com/itm/227278448687,comics,1;;;
"267281859033,""725M2 E Gerber Mylites 2 (Qty 50) - Mylar Comic Bags STANDARD Size (7¼""""x10½"""")"",$19.47,19.47,,Brand New,Buy It Now,absolute117,1900,100.0,Save up to 7% when you buy more,420 sold,Located in United States,https://www.ebay.com/itm/267281859033,comics,1";;;
306869384829,DC / Marvel: Superman / Spider-Man #1 (Cvr G) (2026) Gabriele Dell'Otto Variant,$11.37,11.37,,Brand New,Buy It Now,knowhere_comics,1300,100.0,,,Located in Canada,https://www.ebay.com/itm/306869384829,comics,1;;;
277675341316,Spider-Man/Superman #1 (PRESALE 4/15/26) YOU PICK VARIANT – Marvel & DC,$7.99 to $55.00,,,Brand New,Buy It Now,412comics,14600,99.9,,Free returns,Located in United States,https://www.ebay.com/itm/277675341316,comics,1;;;
198050057954,MARVEL COMICS THE AVENGERS OMNIBUS VOL. 5 HC KANE COVER,$30.00,30.0,,Brand New,Buy It Now,funaticals,14600,99.9,,453 sold,Located in United States,https://www.ebay.com/itm/198050057954,comics,1;;;
197941615156,THOR by Straczynski & Gillen Omnibus REGULAR COVER Marvel Comics HC,$38.00,38.0,,Brand New,Buy It Now,funaticals,14600,99.9,,762 sold,Located in United States,https://www.ebay.com/itm/197941615156,comics,1;;;
142407829162,Stephen King The Stand Captain Trips VARIANT COVER Marvel Comics HC New Sealed,$2.95,2.95,,,Buy It Now,dheader,175900,99.9,,462 sold,Located in United States,https://www.ebay.com/itm/142407829162,comics,1;;;
227200132123,Uncanny X-Men (2024) #1-12 1314 15 16 17 18 19 20 21 Marvel Comics COVER SELECT,$4.88 to $109.88,,,Brand New,Buy It Now,cosmic_kingdom_comics,15000,100.0,,10% off $40+ with coupon,Free returns,https://www.ebay.com/itm/227200132123,comics,1;;;
397817769603,DC Marvel Superman Spider-Man #1 Dell Otto Card Stock Variant NEW NM- (MINUS),$14.99,14.99,,Brand New,Buy It Now,cherryhillcomics,1600,99.8,,5 watchers,Located in United States,https://www.ebay.com/itm/397817769603,comics,1;;;
198037173812,MARVEL COMICS INCREDIBLE HULK BY BYRNE & CASEY OMNIBUS HC GARNEY COVER,$30.00,30.0,,Brand New,Buy It Now,funaticals,14600,99.9,,239 sold,Located in United States,https://www.ebay.com/itm/198037173812,comics,1;;;
178010239055,DC/MARVEL SUPERMAN/SPIDER-MAN #1 LUCIO PARRILLO EXCLUSIVE PRESALE 05-06-26,$39.99,39.99,,,or Best Offer,krscomics,5400,100.0,,40 watchers,Located in United States,https://www.ebay.com/itm/178010239055,comics,1;;;
198005075551,MARVEL COMICS ALIENS: THE ORIGINAL YEARS OMNIBUS VOL. 3 HC PACHECO COVER,$38.00,38.0,,Brand New,Buy It Now,funaticals,14600,99.9,,555 sold,Located in United States,https://www.ebay.com/itm/198005075551,comics,1;;;
198005080600,MARVEL COMICS DAREDEVIL OMNIBUS VOL. 3 HC BUCKLER COVER,$38.00,38.0,,Brand New,Buy It Now,funaticals,14600,99.9,,451 sold,Located in United States,https://www.ebay.com/itm/198005080600,comics,1;;;
198005126860,MARVEL COMICS DAREDEVIL OMNIBUS VOL. 2 HC COLAN IN THE BEGINNING COVER,$30.00,30.0,,Brand New,Buy It Now,funaticals,14600,99.9,,449 sold,Located in United States,https://www.ebay.com/itm/198005126860,comics,1;;;
198007751383,THE UNCANNY X-MEN OMNIBUS VOL. 5 HC WINDSOR SMITH COVER [DM ONLY],$38.00,38.0,,Brand New,Buy It Now,funaticals,14600,99.9,,919 sold,Located in United States,https://www.ebay.com/itm/198007751383,comics,1;;;
198050056658,MARVEL COMICS THE AVENGERS OMNIBUS VOL. 3 HC DAVIS COVER [NEW PRINTING],$30.00,30.0,,Brand New,Buy It Now,funaticals,14600,99.9,,433 sold,Located in United States,https://www.ebay.com/itm/198050056658,comics,1;;;
156070129648,Godhood Comics The Antagonists NM-/M 2023,$119.95 to $149.95,,,Brand New,Buy It Now,multiversecomicsandmore,7200,100.0,,,Located in United States,https://www.ebay.com/itm/156070129648,comics,1;;;
168291163681,Marvel Comics ‘The Immortal Hulk Omnibus’ (2023) HC,$79.89,79.89,,Brand New,or Best Offer,melea3861,3900,99.4,,54 watchers,Located in United States,https://www.ebay.com/itm/168291163681,comics,1;;;
"227123160181,""Invincible Compendium 1, 2, & 3 Book Lot Complete Set Image Comics"",$142.99,142.99,,Brand New,Buy It Now,comicmaster4000,5800,99.2,,93 sold,Located in United States,https://www.ebay.com/itm/227123160181,comics,1";;;
157817435241,Web of Venom #1 Stefano Caselli Main Cover NM,$5.49,5.49,,Brand New,Buy It Now,fantasynut1,24600,99.8,3 watchers,Free returns,Located in United States,https://www.ebay.com/itm/157817435241,comics,1;;;
"388216856976,""Robotech Comics, Single Issues, Comico, Eternity, Wildstorm, Titan, You Pick!"",$1.00 to $4.00,,,Pre-Owned,Buy It Now,keltoi14,16400,99.9,,,Located in United States,https://www.ebay.com/itm/388216856976,comics,1";;;
198005123153,MARVEL COMICS CAPTAIN MAR-VELL OMNIBUS VOL. 1 HC KANE COVER,$30.00,30.0,,Brand New,Buy It Now,funaticals,14600,99.9,,269 sold,Located in United States,https://www.ebay.com/itm/198005123153,comics,1;;;
197502291393,Marvel Comics X Lives X Deaths of Wolverine Collection DM SEALED,$15.00,15.0,,Brand New,Buy It Now,funaticals,14600,99.9,,318 sold,Located in United States,https://www.ebay.com/itm/197502291393,comics,1;;;
187000012190,Chick tracts / mini comics - build your own lot - free shipping! Only $1.95 each,$1.95,1.95,,Brand New,Buy It Now,bassist77,643,99.6,,,Located in United States,https://www.ebay.com/itm/187000012190,comics,1;;;
227180687000,X-Men (2024) #1-13 14 15 16 17 18 19 20 21 22 Marvel Comics COVER SELECT,$4.88 to $119.88,,,Brand New,Buy It Now,cosmic_kingdom_comics,15000,100.0,10% off $40+ with coupon,19+ watchers,Free returns,https://www.ebay.com/itm/227180687000,comics,1;;;
198037173815,MARVEL COMICS HOUSE OF M OMNIBUS COMPANION HC PERKINS COVER,$30.00,30.0,,Brand New,Buy It Now,funaticals,14600,99.9,,282 sold,Located in United States,https://www.ebay.com/itm/198037173815,comics,1;;;
205120110918,Miss Meow #1 Cover B 1st Print Merc Publishing Comics,$1.25,1.25,,Brand New,Buy It Now,royalcollectibles,26600,100.0,,,Located in United States,https://www.ebay.com/itm/205120110918,comics,1;;;
257433768997,Daredevil #1 True Believers Blind Bag Variant 4/1/26 Marvel Comics,$7.49,7.49,,,or Best Offer,randomstackscomics,29700,99.9,Almost gone,Free returns,Located in United States,https://www.ebay.com/itm/257433768997,comics,1;;;
