2026-04-11 00:41:14,377  {'COUNTRY_SCORE': 0.1, 'VIDEO_APPEARANCE': 0.1, 'STOTLIGHT_PROB': np.float64(0.7100591715976331), 'STAFF_PEAK_PROB': np.float64(0.5562130177514792), 'OUTER_CATEGORY_POTENTIAL': 0.1, 'is_success': True}
2026-04-11 00:41:14,377  {'COUNTRY_SCORE': 0, 'VIDEO_APPEARANCE': 0.0, 'STOTLIGHT_PROB': np.float64(0.5), 'STAFF_PEAK_PROB': np.float64(0.3333333333333333), 'OUTER_CATEGORY_POTENTIAL': 0, 'is_success': True}
2026-04-11 00:41:14,377  {'COUNTRY_SCORE': 0.01, 'VIDEO_APPEARANCE': 0.1, 'STOTLIGHT_PROB': np.float64(0.0), 'STAFF_PEAK_PROB': np.float64(0.0), 'OUTER_CATEGORY_POTENTIAL': 0.03, 'is_success': False}
2026-04-11 00:41:14,377  {'COUNTRY_SCORE': 0, 'VIDEO_APPEARANCE': 0.0, 'STOTLIGHT_PROB': np.float64(1.0), 'STAFF_PEAK_PROB': np.float64(1.0), 'OUTER_CATEGORY_POTENTIAL': 0, 'is_success': True}
2026-04-11 00:45:19,952  {'COUNTRY_SCORE': 0.1, 'VIDEO_APPEARANCE': 0.1, 'STOTLIGHT_PROB': np.float64(0.7100591715976331), 'STAFF_PEAK_PROB': np.float64(0.5562130177514792), 'OUTER_CATEGORY_POTENTIAL': 0.1, 'is_success': True}
2026-04-11 00:45:19,953  {'COUNTRY_SCORE': 0, 'VIDEO_APPEARANCE': 0.0, 'STOTLIGHT_PROB': np.float64(0.5), 'STAFF_PEAK_PROB': np.float64(0.3333333333333333), 'OUTER_CATEGORY_POTENTIAL': 0, 'is_success': True}
2026-04-11 00:45:19,953  {'COUNTRY_SCORE': 0.01, 'VIDEO_APPEARANCE': 0.1, 'STOTLIGHT_PROB': np.float64(0.0), 'STAFF_PEAK_PROB': np.float64(0.0), 'OUTER_CATEGORY_POTENTIAL': 0.03, 'is_success': False}
2026-04-11 00:45:19,953  {'COUNTRY_SCORE': 0, 'VIDEO_APPEARANCE': 0.0, 'STOTLIGHT_PROB': np.float64(1.0), 'STAFF_PEAK_PROB': np.float64(1.0), 'OUTER_CATEGORY_POTENTIAL': 0, 'is_success': True}
2026-04-11 00:45:28,428  {'COUNTRY_SCORE': 0.1, 'VIDEO_APPEARANCE': 0.1, 'STOTLIGHT_PROB': np.float64(0.7100591715976331), 'STAFF_PEAK_PROB': np.float64(0.5562130177514792), 'OUTER_CATEGORY_POTENTIAL': 0.1, 'is_success': True}
2026-04-11 00:45:28,429  {'COUNTRY_SCORE': 0, 'VIDEO_APPEARANCE': 0.0, 'STOTLIGHT_PROB': np.float64(0.5), 'STAFF_PEAK_PROB': np.float64(0.3333333333333333), 'OUTER_CATEGORY_POTENTIAL': 0, 'is_success': True}
2026-04-11 00:45:28,429  {'COUNTRY_SCORE': 0.01, 'VIDEO_APPEARANCE': 0.1, 'STOTLIGHT_PROB': np.float64(0.0), 'STAFF_PEAK_PROB': np.float64(0.0), 'OUTER_CATEGORY_POTENTIAL': 0.03, 'is_success': False}
2026-04-11 00:45:28,429  {'COUNTRY_SCORE': 0, 'VIDEO_APPEARANCE': 0.0, 'STOTLIGHT_PROB': np.float64(1.0), 'STAFF_PEAK_PROB': np.float64(1.0), 'OUTER_CATEGORY_POTENTIAL': 0, 'is_success': True}
2026-04-11 00:45:38,580  {'COUNTRY_SCORE': 0.1, 'VIDEO_APPEARANCE': 0.1, 'STOTLIGHT_PROB': np.float64(0.7100591715976331), 'STAFF_PEAK_PROB': np.float64(0.5562130177514792), 'OUTER_CATEGORY_POTENTIAL': 0.1, 'is_success': True}
2026-04-11 00:45:38,581  {'COUNTRY_SCORE': 0, 'VIDEO_APPEARANCE': 0.0, 'STOTLIGHT_PROB': np.float64(0.5), 'STAFF_PEAK_PROB': np.float64(0.3333333333333333), 'OUTER_CATEGORY_POTENTIAL': 0, 'is_success': True}
2026-04-11 00:45:38,581  {'COUNTRY_SCORE': 0.01, 'VIDEO_APPEARANCE': 0.1, 'STOTLIGHT_PROB': np.float64(0.0), 'STAFF_PEAK_PROB': np.float64(0.0), 'OUTER_CATEGORY_POTENTIAL': 0.03, 'is_success': False}
2026-04-11 00:45:38,581  {'COUNTRY_SCORE': 0, 'VIDEO_APPEARANCE': 0.0, 'STOTLIGHT_PROB': np.float64(1.0), 'STAFF_PEAK_PROB': np.float64(1.0), 'OUTER_CATEGORY_POTENTIAL': 0, 'is_success': True}
